review,label
"Depression: ""Most of my life I have struggled with severe panic attacks, general anxiety, PTSD &amp; moderate depression. Been on meds twice before until I felt better &amp; then I would stop taking them. This last time it had been close to a year that I had been suffering again before I decided to reluctantly go back on meds. I tried Celexa again- it worked kinda okay in the past but this time it made no improvement for me. Saw the doc who switched me to Prozac- all I can say is WOW! Best yet- I feel like my old, happy self after only 1 month! 10mg the first week, 15 the second and 20mg the last two. Give it time to work &amp; be patient- it might make you feel a bit off &amp; not better at first, but it is a miracle drug. These bad feelings will pass hang in there!""",positive
"Anxiety: ""I was just diagnosed in my 40&#039;s with generalized anxiety disorder not surprised.  I was always having anxiety/panic attacks and unable to function some times.  I now take Celexa daily and while it takes about 2 months to really kick in my anxiety is gone and I feel FAR beyond how I have felt in forever.  Zoloft nor prozac worked.  I don&#039;t know they are truly geared towards anxiety.  High;y recommend it at 10mg if not feeling better.""",positive
"Depression: ""My Doctor gave me 2 weeks of Abilify, 2mg as a sample to take in addition to my 450mg of Wellbutrin. Made me extremely dizzy and had difficulty driving safely due to this. """,negative
"Anxiety: ""Two years ago, I couldn&#039;t sleep, my doctor gave me all type of sleep meds, nothing worked. The only med works is this. I take 5mg every night on and off for 2 years. No side effect.""",positive
"Pain: ""I have a torn hip ligament due to a fall at work - I find NO relief with Voltaren either oral (75MG 2x per day) or the patch.""",negative
"Pain: ""I think the use of putting perfume in the gel is really stupid. There are so many people allergic also someone like me with cancer and very sore and nauseated to spend money on this and it made me so sick I washed up 4 times and my hands and skin still smells strong. It gave me a headache and made my nausea worse. There is no need for perfume not to mention it&#039;s just an toxic unnecessary ingredient. I will never use this again and I will be sure to let everyone at clinic know.""",negative
"Depression: ""I&#039;ve tried Prozac, Zoloft, Celexa and none of them worked well. They would work maybe a month and the depression crept back into my life. I started taking Viibryd and the recommendation of a doctor and trusted friend and my life has changed dramatically for the better. I don&#039;t have the wiped out feeling and my sex drive has stayed the same. This medicine has been a God send for me. I had to fight to get my insurance to cover it but it has so been worth it.""",positive
"Pain: ""Because I am a recovering alcoholic it is crucial for me to find non-narcotic treatment for the persevering pain of my chronic pancreatitis. I was feeling a bit hopeless with the repeated prescriptions of pain meds (which of course offer only temporary relief, and for me a danger of over-use), until my GI prescribed me Gabapentin. This med has been incredibly successful in mitigating my pain, while also giving me huge energy (I&#039;m a consistent runner so this factor is welcomed), and allowing me to move forward with my sobriety. I give it four stars, though I realize like anything, it&#039;s not for everyone. That said, good luck to you all with finding what works.""",positive
"Pain: ""I have suffered severe pain for 20 years following a  motorcycle accident. During this time I have tried every sort of pain relief available to me, mainly narcotic drugs which I found as bad as the pain itself. Earlier this year I was prescribed Lyrica as far as pain relief goes...fantastic. After a few months (1x 75mg cap per day) I experienced total confusion and was unable to perform my daily tasks at work or at home. I was becoming agitated and experienced suicidal thoughts. Things returned to normal after a week or so of not taking Lyrica. Because it worked so well I am tempted to give it another go. It was just so good to not feel the pain anymore.""",positive
"Depression: ""I took this on top of taking SAM-E for depression and fatigue. I&#039;ll put the good first. This supplement is amazing. Makes me feel much more confident, much less socially anxious, and more able to be assertive, and have no fatigue. AND I am interested in things again. I feel joy from looking at the mountains and such. It started increasing my facial twitches from SAM-E which also Ritalin brought out. SJW feels kind of like a drug like Ritalin but with a much lower up. I&#039;ve got to say I feel pretty good taking it. I take 350mg once in the morning, a double dose at 2:00, and a single dose again around 6:00. Sometimes I will take another dose around 10:00 p.m. I feel like I don&#039;t need the SAM-E anymore. Highly recommend.""",positive
"Anxiety: ""Background: Essential Tremor with Social Anxiety and IBS. I&#039;m naturally VERY happy.

From 6mo Escitalopram 10mg to 1mo Viibryd 10mg.

Upped to 20mg Viibryd but two hours in, had panic attack tremors. Went back to 10mg for a 1mo more, until VERY HEAVY depression episodes at around 6 PM till 10 PM (took the pill at 8 AM) appeared. Also it gave me very bad diarrhea after eating most foods.

Can&#039;t cold-turkey it (which I could with Escitalopram), would panic/shake/depression.
Had to take the abuse till I switched back Escitalopram 10mg - which thankfully calmed me down from Viibryd withdrawal!

I don&#039;t feel this is the right drug for happy people with anxiety. It does more unnecessary anti-depressant changes than it does anxiety improvements.""",negative
"Pain: ""I&#039;ve had back pain for almost 3 years now, sometimes to the point of tears due to simple actions like walking or bending. After being put on this medication 3-4 doses daily, I have had the pain relieved, and my actual mood and focus has increased at work. My previous evaluations and reviews were below average and now after being put on this treatment my last two reviews have increased to above average. It takes effect quite quickly and lasts for the directed amount of time on the prescription. The only con I have for this medication is that it affects myself in a negative way during intercourse. I have found when on the medication my climax takes 3-4 times as long or not at all during that time. Quite frustrating.""",positive
"Pain: ""I had this in hospital when I broke my arm. It worked awesome. The only negative was the constipation, unable to relieve myself for 4-5 days after.""",positive
"Depression: ""I have taken Prozac, Zoloft, Paxil, and then my Doctor Put me on WellButrin XL 150 in the morning and that was helping me but not in the evening so she increased the Wellbutrin XL to 300mg in the morning and 150 in the evening and that was working, my mood seem to be great! But then I learned since I take the 300 and 150 that there was a new formulation on the market called Forfivo XL 450 and I take that once a day in the morning along with some Lamictal 100mg and I feel GREAT. I don&#039;t have the worrying I had at work with coworkers, or the mood swings I had while I was at work or being with family. I still take Klonopin 1mg three times a day for my anxiety and panic attacks and I take Klonopin 1mg at bedtime and Elavil 50mg to help me sleep.""",positive
"Pain: ""My hubby has been using this for years and has always said it works.  I AGREE 100%.  We are having difficulty finding it in the pharmacy stores, it seems that they are not carrying it anymore. """,positive
"Anxiety: ""I took citalapram for nine weeks unsuccessfully and mirtazapine for 8months, too many side effects, numb emotional feelings and made anxiety worse , feeling aggressive, aching joints,big changes in weight and bodily functions , not easy to withdraw from either, worsening thoughts, (don&#039;t think relapse, think it&#039;s the drug) or you&#039;ll end up back on it. My opinion is never again, beware!""",negative
"Anxiety: ""This is an exceptional medicine. I have been on it for only a couple of weeks. I have tried Seroquel, trazodone, Ambien and none of these have worked but alprazolam is a miracle medicine.""",positive
"Pain: ""Takes pain away instantly. Amazing medicine""",positive
"Depression: ""I was in a bad car accident 3 years ago and it tore up my already injured back. At first I relied on Cymbalta and narcotics to get through the pain. The narcotics lifted my mood and the Cymbalta did help with all other pain. Eventually the narcotic I was on (lortab) stopped working all together. I&#039;m not a big fan of opiates for pain relief and would not have taken them had it not been my only choice to feel normal. (I couldnt even sit in my car for more than 15 mins without searing nerve pain).I accidently stumbled on a review that said Wellbutrin also helped with back pain. It has been the best thing that&#039;s happened to me. It has replaced both meds and I feel great! Cymbalta was horrible to come off of, Lortab not so much but think I was just lucky.""",positive
"Depression: ""I had been on Lexapro for over a year and it was working great with the exception of having zero libido. With my relationship at stake I decided to try Pristiq. After about a week I realized that I was back to my old irritable, pre-medicated self. I have been crying at the drop of a hat, snapping on loved ones, and I have been nauseous almost everyday. Not to mention I went from 125 pounds to 137 pounds in a month. I talked to my doctor today and she suggested trying Viibryd.""",negative
"Anxiety: ""I was hopeful after reading all the reviews, but I was on 50mg for 2 days and could not bring myself to take it the third day. I was incapable of looking after my two young children, I was out of it and didn&#039;t even feel I could get in the car and drive, the simple task of cooking dinner seemed like a nightmare to me. Would have been interesting to see how long this lasted and see the wonderful effects I am reading about. Maybe when my husband is on holidays I might try again but being Christmas in 3 days, working and looking after kids I need to be clear headed. On the plus side I couldn&#039;t hardly eat and lost 2kgs.""",negative
"Anxiety: ""I take 300 mg 3x a day and I feel the best I&#039;ve felt in 10 years. Nothing has worked to calm my anxiety like Gabapentin including Klonopin or Xanax. I&#039;m happy, relaxed, motivated and most importantly my appetite for alcohol which I used excessively to calm my anxiety has completely disappeared. I hope I can take this medication for forever. Life is finally good again.""",positive
"Depression: ""I have suffered depression off and on for over 20 years. I take Cymbalta for chronic pain and still have fallen in a deep depression. My doctor added Pristiq and after day 1 I&#039;m feeling much better!""",positive
"Anxiety: ""Sitting here shaking in my boots this stuff is weak 1mg 3 times a day""",negative
"Depression: ""A couple of years ago I ended up with anxiety and depression. My doctor prescribed Citalopram. I started at 20mg and after a couple of weeks increased my dosage to 40mg. There were side effects. Sweats, waking up at 3:00 and not able to get back to sleep. It took sbout 6 weeks before I felt great. Much happier, little to no anxiety and my wife notice the change for the better. I stayed on Citalopram for about 6 months and over a month kept reducing my dosage by 10mg weekly until I was off the meds. I had no withdrawal at all. Felt great as I went off the meds.  Had some personal problem that sent me sideways and the doctor put me back on Citalopram. took about 6 weeks for it to work just like the first time. Feeling myself again""",positive
"Depression: ""This medication is amazing, but after 2 months I gained 20lbs. :/""",positive
"Anxiety: ""I have been taking clonazepam .5 MG&#039;s once daily if needed for over a year now, and let&#039;s just say this medicine has done wonders for me! I suffer with horrible panic disorder as well with agoraphobia without clonazepam I probably would never be able to leave my house, I only take it when I need it which is usually three times a week depending but just knowing I have it helps calm me down, I am also on Zoloft 75mgs and the combo works great for me!""",positive
"Depression: ""I love Celexa. I was getting depressed after long hours of med school and studying and feeling like I had no time enjoyment. Celexa took about 3 weeks to work, but it worked and continues to work. I no longer feel depressed every day. Sometimes I sink into depression, but I am able to snap out of it much quicker. I feel less moody, and my boyfriend has noticed an improvement in my mood. The only side effect I experience is decreased sex drive/harder time climaxing, but I would prefer that over going off the deep end. I will continue to take this and consider weening myself from it once life is less stressful. Great medicine that can save your life.""",positive
"Pain: ""I suffered burst fractures, nerve damage, spinal cord damage, due to a bad car accident in September &#039;09. Not only has MS Contin worked well, it&#039;s relatively inexpensive compared to other extended release medications. People talk about how great the Fentanyl patch is for chronic, severe pain. But you can&#039;t control the amount of medicine entering your system, it&#039;s unpredictable, certain brands are being recalled because of defective pouches. Plain old morphine. It&#039;s been around forever and nothing works as well. The only problem is I&#039;ve grown tolerant and needed 2 increases in the past year. I guess that will happen with any medication. With my latest increase (100mg 4X daily) I&#039;ve been able to cut down on the oxycodone by half!""",positive
"Depression: ""I only took this medication for a few days, my heart started hurting...I ended up in emergency room my blood pressure had sky rocket and my heart rate was throught the roof. Laying down my heart rate is steady but the moment I stand it jumps to over 150bpm...this never happened until I took this medication. I have been on bed rest for over a week now and so far it doesn&#039;t seem to be getting any better.""",negative
